Term	Regulatory / technical definition	Plain‑language definition (indicative)	Source
AI system	Machine-based system inferring from inputs to generate outputs that influence environments.	A computer programme or gadget that uses collections of information and step-by-step rules to do tasks or make choices on its own. It powers things like chatbots, picture recognition and self-driving cars. These systems learn from examples and then act or reply when you feed in new information.	EU AI Act Art 3(1)
General Purpose AI model	Model competent across a broad range of tasks and adaptable for many downstream uses.	A very flexible AI “brain” trained on huge piles of information so it can handle many different jobs. For example, one large language model can write text, answer questions or translate. You can slot it into loads of uses because it isn’t built for just one task.	EU AI Act Rec 99
Provider	Person or org that develops or markets an AI system under its name or trademark.	The person or company that creates or sells an AI system. They must make sure the AI follows the rules and is safe to use. If you build or offer an AI tool, you are the provider and must keep users safe.	EU AI Act Art 3(5)
Deployer	Natural or legal person who uses an AI system under its authority.	The user or firm that takes an AI system and sets it up for real use. If you buy a medical-diagnosis AI and run it in your clinic, you are the deployer. You must check it works correctly and safely day-to-day.	EU AI Act Art 3(6)
Importer	Entity placing on EU market an AI system from a non‑EU provider.	A business that brings an AI product into a region (for example, the EU) from somewhere else. If you move an AI gadget from another country into your own market, you are the importer. You must be sure it obeys local rules before anyone uses it.	EU AI Act Art 3(10)
Distributor	Entity making an AI system available in EU without altering its function.	person or company that passes an AI product along the sales chain but did not build it. If your shop lists an AI tool made by someone else, you are the distributor. You must check the right paperwork and safety labels are in place and that no one has altered the product in a risky way.	EU AI Act Art 3(11)
Authorised representative	EU‑based proxy authorised to act on a non‑EU provider’s behalf.	A local agent who speaks to regulators for an overseas provider. If you sell AI in the EU but are based elsewhere, this representative handles the compliance paperwork with EU authorities.	EU AI Act Art 3(12)
Placing on the market	First supply of an AI system for distribution or use in the EU.	The first moment an AI product is offered for sale or supplied to users in a region. Think of it as launch day for the public.	EU AI Act Art 3(13)
Putting into service	First use of an AI system by the deployer for its intended purpose.	The point an AI system is actually switched on for its intended job. For example, once a new factory robot starts working on the line, it has been “put into service”.	EU AI Act Art 3(14)
High‑risk AI system	AI listed in Annex III or integrated into certain safety products, subject to strict rules.	AI whose errors or misuse could seriously harm people’s safety, health, rights or income. These tools sit in critical areas like medicine, transport or policing. Because the stakes are high, they must meet strict safety standards.	EU AI Act Art 6
Unacceptable‑risk AI practice	AI uses prohibited outright due to unacceptable harm (e.g. social scoring).	A use of AI that the law bans because it is clearly too harmful or unfair, such as secret opinion-manipulation, mass surveillance without cause or social-credit scoring.	EU AI Act Art 5
Limited‑risk AI	AI that must meet specific transparency duties (chatbots, emotion AI, deepfakes).	AI with some possible downsides but not enough to warrant a ban. A chatbot or mild content filter is in this class. You mainly have to tell users it is AI so they know what they are dealing with.	EU AI Act Art 50
Minimal‑risk AI	AI outside higher tiers with no special Act duties.	AI that presents little or no danger, such as spam filters or video-game characters. Normal consumer rules already cover these tools, so no extra law applies.	EU AI Act Rec 18
